2021-05-04 13:48:27 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-04 15:03:33 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-04 15:03:54 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-04 15:04:15 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-04 15:04:36 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-04 15:04:57 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-04 15:24:15 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-04 15:43:54 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-04 16:19:50 [171.100.239.0] -p, phi1612, bad mining address -p
2021-05-04 16:20:14 [171.100.239.0] -p, phi1612, bad mining address -p
2021-05-05 17:54:52 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-05 17:55:13 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-05 18:14:52 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-05 18:38:23 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-05 18:38:44 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-05 19:07:30 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-05 19:07:52 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-05 19:08:13 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-05 19:35:35 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-05 19:54:10 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-05 19:54:31 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-05 19:54:52 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-05 19:55:13 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-05 20:13:49 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-05 20:32:46 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-05 20:33:07 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-05 20:33:28 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-05 21:15:55 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000008
2021-05-05 21:16:16 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000008
2021-05-05 21:34:52 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-05 22:23:38 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-05 22:24:00 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-05 22:42:35 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-05 23:19:05 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-05 23:57:20 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 00:15:55 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 00:16:16 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 00:16:37 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 00:16:59 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 11:17:40 [65.186.33.100] AJSq5sbtSnoXHHfJ6mzst7rRG9duJUEYJY, phi1612, speed 0.000009
